"team","week","yardage_type","yards","offset","offset2","outcome"
"nfl-gb",7,"rushing",90,0,-1,"loss"
"nfl-gb",7,"passing",50,90,1,"loss"
"nfl-gb",6,"rushing",133,0,-1,"win"
"nfl-gb",6,"passing",237,133,1,"win"
"nfl-gb",5,"rushing",86,0,-1,"win"
"nfl-gb",5,"passing",236,86,1,"win"
"nfl-gb",4,"rushing",162,0,-1,"win"
"nfl-gb",4,"passing",200,162,1,"win"
"nfl-gb",3,"rushing",123,0,-1,"win"
"nfl-gb",3,"passing",325,123,1,"win"
"nfl-gb",2,"rushing",127,0,-1,"win"
"nfl-gb",2,"passing",234,127,1,"win"
"nfl-gb",1,"rushing",133,0,-1,"win"
"nfl-gb",1,"passing",189,133,1,"win"
"nfl-hou",16,"rushing",160,0,-1,"win"
"nfl-hou",16,"passing",242,160,1,"win"
"nfl-hou",15,"rushing",128,0,-1,"win"
"nfl-hou",15,"passing",202,128,1,"win"
"nfl-hou",14,"rushing",155,0,-1,"win"
"nfl-hou",14,"passing",150,155,1,"win"
"nfl-hou",13,"rushing",87,0,-1,"loss"
"nfl-hou",13,"passing",102,87,1,"loss"
"nfl-hou",12,"rushing",126,0,-1,"loss"
"nfl-hou",12,"passing",275,126,1,"loss"
"nfl-hou",11,"rushing",167,0,-1,"win"
"nfl-hou",11,"passing",195,167,1,"win"
"nfl-hou",10,"rushing",123,0,-1,"win"
"nfl-hou",10,"passing",241,123,1,"win"
"nfl-hou",9,"rushing",82,0,-1,"win"
"nfl-hou",9,"passing",174,82,1,"win"
"nfl-hou",8,"rushing",56,0,-1,"win"
"nfl-hou",8,"passing",214,56,1,"win"
"nfl-hou",7,"rushing",71,0,-1,"loss"
"nfl-hou",7,"passing",251,71,1,"loss"
"nfl-hou",6,"rushing",95,0,-1,"win"
"nfl-hou",6,"passing",287,95,1,"win"
"nfl-hou",5,"rushing",82,0,-1,"loss"
"nfl-hou",5,"passing",362,82,1,"loss"
"nfl-hou",4,"rushing",54,0,-1,"loss"
"nfl-hou",4,"passing",374,54,1,"loss"
"nfl-hou",3,"rushing",186,0,-1,"win"
"nfl-hou",3,"passing",227,186,1,"win"
"nfl-hou",2,"rushing",61,0,-1,"loss"
"nfl-hou",2,"passing",239,61,1,"loss"
"nfl-hou",1,"rushing",98,0,-1,"loss"
"nfl-hou",1,"passing",298,98,1,"loss"
"nfl-ind",16,"rushing",127,0,-1,"win"
"nfl-ind",16,"passing",200,127,1,"win"
"nfl-ind",15,"rushing",100,0,-1,"win"
"nfl-ind",15,"passing",168,100,1,"win"
"nfl-ind",14,"rushing",50,0,-1,"loss"
"nfl-ind",14,"passing",140,50,1,"loss"
"nfl-ind",13,"rushing",95,0,-1,"loss"
"nfl-ind",13,"passing",227,95,1,"loss"
"nfl-ind",12,"rushing",54,0,-1,"loss"
"nfl-ind",12,"passing",186,54,1,"loss"
"nfl-ind",11,"rushing",27,0,-1,"win"
"nfl-ind",11,"passing",309,27,1,"win"
"nfl-ind",10,"rushing",74,0,-1,"win"
"nfl-ind",10,"passing",202,74,1,"win"
"nfl-ind",9,"rushing",120,0,-1,"win"
"nfl-ind",9,"passing",245,120,1,"win"
"nfl-ind",8,"rushing",136,0,-1,"loss"
"nfl-ind",8,"passing",223,136,1,"loss"
"nfl-ind",7,"rushing",75,0,-1,"loss"
"nfl-ind",7,"passing",301,75,1,"loss"
"nfl-ind",6,"rushing",120,0,-1,"loss"
"nfl-ind",6,"passing",289,120,1,"loss"
"nfl-ind",5,"rushing",110,0,-1,"win"
"nfl-ind",5,"passing",213,110,1,"win"
"nfl-ind",4,"rushing",60,0,-1,"win"
"nfl-ind",4,"passing",266,60,1,"win"
"nfl-ind",3,"rushing",133,0,-1,"win"
"nfl-ind",3,"passing",245,133,1,"win"
"nfl-ind",2,"rushing",93,0,-1,"loss"
"nfl-ind",2,"passing",250,93,1,"loss"
"nfl-ind",1,"rushing",64,0,-1,"loss"
"nfl-ind",1,"passing",240,64,1,"loss"
"nfl-jac",16,"rushing",32,0,-1,"loss"
"nfl-jac",16,"passing",183,32,1,"loss"
"nfl-jac",15,"rushing",65,0,-1,"loss"
"nfl-jac",15,"passing",347,65,1,"loss"
"nfl-jac",14,"rushing",85,0,-1,"loss"
"nfl-jac",14,"passing",285,85,1,"loss"
"nfl-jac",13,"rushing",154,0,-1,"win"
"nfl-jac",13,"passing",226,154,1,"win"
"nfl-jac",12,"rushing",81,0,-1,"loss"
"nfl-jac",12,"passing",302,81,1,"loss"
"nfl-jac",11,"rushing",102,0,-1,"loss"
"nfl-jac",11,"passing",318,102,1,"loss"
"nfl-jac",10,"rushing",90,0,-1,"win"
"nfl-jac",10,"passing",218,90,1,"win"
"nfl-jac",9,"rushing",90,0,-1,"win"
"nfl-jac",9,"passing",168,90,1,"win"
"nfl-jac",8,"rushing",98,0,-1,"loss"
"nfl-jac",8,"passing",338,98,1,"loss"
"nfl-jac",7,"rushing",120,0,-1,"win"
"nfl-jac",7,"passing",175,120,1,"win"
"nfl-jac",6,"rushing",83,0,-1,"loss"
"nfl-jac",6,"passing",311,83,1,"loss"
"nfl-jac",5,"rushing",55,0,-1,"loss"
"nfl-jac",5,"passing",270,55,1,"loss"
"nfl-jac",4,"rushing",142,0,-1,"loss"
"nfl-jac",4,"passing",289,142,1,"loss"
"nfl-jac",3,"rushing",57,0,-1,"loss"
"nfl-jac",3,"passing",236,57,1,"loss"
"nfl-jac",2,"rushing",123,0,-1,"win"
"nfl-jac",2,"passing",273,123,1,"win"
"nfl-jac",1,"rushing",96,0,-1,"loss"
"nfl-jac",1,"passing",169,96,1,"loss"
"nfl-kc",16,"rushing",189,0,-1,"win"
"nfl-kc",16,"passing",150,189,1,"win"
"nfl-kc",15,"rushing",136,0,-1,"win"
"nfl-kc",15,"passing",122,136,1,"win"
"nfl-kc",14,"rushing",113,0,-1,"win"
"nfl-kc",14,"passing",164,113,1,"win"
"nfl-kc",13,"rushing",150,0,-1,"win"
"nfl-kc",13,"passing",179,150,1,"win"
"nfl-kc",12,"rushing",89,0,-1,"win"
"nfl-kc",12,"passing",143,89,1,"win"
"nfl-kc",11,"rushing",158,0,-1,"win"
"nfl-kc",11,"passing",255,158,1,"win"
"nfl-kc",10,"rushing",153,0,-1,"win"
"nfl-kc",10,"passing",232,153,1,"win"
"nfl-kc",9,"rushing",106,0,-1,"win"
"nfl-kc",9,"passing",197,106,1,"win"
"nfl-kc",8,"rushing",206,0,-1,"win"
"nfl-kc",8,"passing",134,206,1,"win"
"nfl-kc",7,"rushing",138,0,-1,"win"
"nfl-kc",7,"passing",239,138,1,"win"
"nfl-kc",6,"rushing",57,0,-1,"loss"
"nfl-kc",6,"passing",271,57,1,"loss"
"nfl-kc",5,"rushing",117,0,-1,"loss"
"nfl-kc",5,"passing",170,117,1,"loss"
"nfl-kc",4,"rushing",113,0,-1,"loss"
"nfl-kc",4,"passing",348,113,1,"loss"
"nfl-kc",3,"rushing",75,0,-1,"loss"
"nfl-kc",3,"passing",251,75,1,"loss"
"nfl-kc",2,"rushing",147,0,-1,"loss"
"nfl-kc",2,"passing",167,147,1,"loss"
"nfl-kc",1,"rushing",97,0,-1,"win"
"nfl-kc",1,"passing",233,97,1,"win"
"nfl-mia",16,"rushing",96,0,-1,"win"
"nfl-mia",16,"passing",342,96,1,"win"
"nfl-mia",15,"rushing",82,0,-1,"loss"
"nfl-mia",15,"passing",279,82,1,"loss"
"nfl-mia",14,"rushing",44,0,-1,"loss"
"nfl-mia",14,"passing",187,44,1,"loss"
"nfl-mia",13,"rushing",128,0,-1,"loss"
"nfl-mia",13,"passing",235,128,1,"loss"
"nfl-mia",12,"rushing",137,0,-1,"win"
"nfl-mia",12,"passing",82,137,1,"win"
"nfl-mia",11,"rushing",12,0,-1,"loss"
"nfl-mia",11,"passing",321,12,1,"loss"
"nfl-mia",10,"rushing",70,0,-1,"loss"
"nfl-mia",10,"passing",140,70,1,"loss"
"nfl-mia",9,"rushing",99,0,-1,"win"
"nfl-mia",9,"passing",190,99,1,"win"
"nfl-mia",8,"rushing",108,0,-1,"loss"
"nfl-mia",8,"passing",289,108,1,"loss"
"nfl-mia",7,"rushing",15,0,-1,"loss"
"nfl-mia",7,"passing",255,15,1,"loss"
"nfl-mia",6,"rushing",248,0,-1,"win"
"nfl-mia",6,"passing",255,248,1,"win"
"nfl-mia",5,"rushing",180,0,-1,"win"
"nfl-mia",5,"passing",254,180,1,"win"
"nfl-mia",4,"rushing",59,0,-1,"loss"
"nfl-mia",4,"passing",167,59,1,"loss"
"nfl-mia",3,"rushing",102,0,-1,"loss"
"nfl-mia",3,"passing",289,102,1,"loss"
"nfl-mia",2,"rushing",42,0,-1,"loss"
"nfl-mia",2,"passing",344,42,1,"loss"
"nfl-mia",1,"rushing",74,0,-1,"win"
"nfl-mia",1,"passing",182,74,1,"win"
"nfl-min",16,"rushing",151,0,-1,"win"
"nfl-min",16,"passing",91,151,1,"win"
"nfl-min",15,"rushing",218,0,-1,"win"
"nfl-min",15,"passing",150,218,1,"win"
"nfl-min",14,"rushing",129,0,-1,"win"
