"city","time","temp"
"Denver",105,35.94
"Denver",108,26.71
"Denver",111,20.46
"Denver",114,19.79
"Denver",117,17.4
"Washington",0,23.92
"Washington",3,38.88
"Washington",6,46.36
"Washington",9,47.66
"Washington",12,39.94
"Washington",15,34
"Washington",18,28.8
"Washington",21,31.84
"Washington",24,34.07
"Washington",27,42.58
"Washington",30,48.76
"Washington",33,45.86
"Washington",36,39.16
"Washington",39,37.74
"Washington",42,39.45
"Washington",45,40.82
"Washington",48,37.15
"Washington",51,43.68
"Washington",54,44.85
"Washington",57,42
"Washington",60,33.94
"Washington",63,26.77
"Washington",66,23.09
"Washington",69,22.89
"Washington",72,27.03
"Washington",75,33.83
"Washington",78,37.18
"Washington",81,35.71
"Washington",84,34.19
"Washington",87,33.46
"Washington",90,32.3
"Washington",93,29.84
"Washington",96,26.38
"Washington",99,36.64
"Washington",102,39.53
"Washington",105,37.92
"Washington",108,32.74
"Washington",111,30.59
"Washington",114,29.65
"Washington",117,27.03
"Memphis",0,54.93
"Memphis",3,63.09
"Memphis",6,66.11
"Memphis",9,59.9
"Memphis",12,48.13
"Memphis",15,43.39
"Memphis",18,41.31
"Memphis",21,43.63
"Memphis",24,58.68
"Memphis",27,68.99
"Memphis",30,71.22
"Memphis",33,60.93
"Memphis",36,46.04
"Memphis",39,40.53
"Memphis",42,38.28
"Memphis",45,37.17
"Memphis",48,52.72
"Memphis",51,64.74
"Memphis",54,66.18
"Memphis",57,60.09
"Memphis",60,56.26
"Memphis",63,55.3
"Memphis",66,54.19
"Memphis",69,52.05
"Memphis",72,55.74
"Memphis",75,66.19
"Memphis",78,67.19
"Memphis",81,66.71
"Memphis",84,66.99
"Memphis",87,66.63
"Memphis",90,62.45
"Memphis",93,62.15
"Memphis",96,64.36
"Memphis",99,69.58
"Memphis",102,67.52
"Memphis",105,68.2
"Memphis",108,66.04
"Memphis",111,63.84
"Memphis",114,64.3
"Memphis",117,64.38
"Boston",0,30.52
"Boston",3,33.04
"Boston",6,33.67
"Boston",9,32.38
"Boston",12,32.8
"Boston",15,32.46
"Boston",18,30.51
"Boston",21,29
"Boston",24,32.82
"Boston",27,34.78
"Boston",30,35.71
"Boston",33,33.45
"Boston",36,32.9
"Boston",39,32.59
"Boston",42,32.07
"Boston",45,32.98
"Boston",48,36.42
"Boston",51,36.31
"Boston",54,35.61
"Boston",57,34.27
"Boston",60,31.58
"Boston",63,29.11
"Boston",66,27.56
"Boston",69,28.56
"Boston",72,36.19
"Boston",75,40.42
"Boston",78,42.85
"Boston",81,39.29
"Boston",84,35.96
"Boston",87,34.75
"Boston",90,34.71
"Boston",93,35.25
"Boston",96,46.62
"Boston",99,52.37
"Boston",102,53.64
"Nashville",0,56.46
"Nashville",3,62.22
"Nashville",6,65.21
"Nashville",9,57.06
"Nashville",12,46.85
"Nashville",15,42.22
"Nashville",18,39.43
"Nashville",21,43.38
"Nashville",24,56.46
"Nashville",27,67.08
"Nashville",30,68.32
"Nashville",33,59.68
"Nashville",36,51.42
"Nashville",39,43.38
"Nashville",42,35.37
"Nashville",45,31.24
"Nashville",48,46.18
"Nashville",51,56.91
"Nashville",54,60.96
"Nashville",57,52.44
"Nashville",60,47.8
"Nashville",63,48.91
"Nashville",66,49.73
"Nashville",69,48.9
"Nashville",72,54.93
"Nashville",75,60.2
"Nashville",78,62.11
"Nashville",81,60.37
"Nashville",84,58.8
"Nashville",87,58.48
"Nashville",90,58.63
"Nashville",93,57.74
"Nashville",96,63.1
"Nashville",99,68.1
"Nashville",102,71.61
"Nashville",105,68.52
"Nashville",108,67.62
"Nashville",111,67.8
"Nashville",114,65.6
"Nashville",117,58.8
"Baltimore",0,36.63
"Baltimore",3,41.79
"Baltimore",6,43.12
"Baltimore",9,34.59
"Baltimore",12,26.28
"Baltimore",15,23.37
"Baltimore",18,20.52
"Baltimore",21,19.33
"Baltimore",24,40.15
"Baltimore",27,44.82
"Baltimore",30,44.76
"Baltimore",33,38.89
"Baltimore",36,37.17
"Baltimore",39,37.86
"Baltimore",42,38.28
"Baltimore",45,36.81
"Baltimore",48,41.14
"Baltimore",51,44.54
"Baltimore",54,44.38
"Baltimore",57,36.79
"Baltimore",60,27.39
"Baltimore",63,22.59
"Baltimore",66,20.09
"Baltimore",69,20.78
"Baltimore",72,42.58
"Baltimore",75,51.85
"Baltimore",78,55.36
"Baltimore",81,46.04
"Baltimore",84,41.9
"Baltimore",87,40.65
"Baltimore",90,38.76
"Baltimore",93,33.99
"Baltimore",96,54.99
"Baltimore",99,65.6
"Baltimore",102,66.24
"Oklahoma City",0,64.83
"Oklahoma City",3,79.81
"Oklahoma City",6,83.55
"Oklahoma City",9,79.93
"Oklahoma City",12,67.77
"Oklahoma City",15,61.72
"Oklahoma City",18,55.47
"Oklahoma City",21,49.19
"Oklahoma City",24,58.86
"Oklahoma City",27,73.24
"Oklahoma City",30,79.61
"Oklahoma City",33,77.54
"Oklahoma City",36,69.01
"Oklahoma City",39,66.7
"Oklahoma City",42,64.67
"Oklahoma City",45,62.94
"Oklahoma City",48,65.25
"Oklahoma City",51,71.58
"Oklahoma City",54,77.13
"Oklahoma City",57,72.6
"Oklahoma City",60,69.94
"Oklahoma City",63,70.64
"Oklahoma City",66,69.12
"Oklahoma City",69,66.99
"Oklahoma City",72,68.93
"Oklahoma City",75,69.16
"Oklahoma City",78,62.92
"Oklahoma City",81,67.16
"Oklahoma City",84,66.86
"Oklahoma City",87,67.17
"Oklahoma City",90,61.69
"Oklahoma City",93,60.8
"Oklahoma City",96,63.73
"Oklahoma City",99,61.53
"Oklahoma City",102,66.26
"Oklahoma City",105,66.09
"Oklahoma City",108,58.21
"Oklahoma City",111,55.07
"Oklahoma City",114,51.16
"Oklahoma City",117,43.95
"Portland",0,43.56
"Portland",3,54.9
"Portland",6,60.62
"Portland",9,60.58
"Portland",12,53.23
"Portland",15,50.86
"Portland",18,49.32
"Portland",21,47.9
"Portland",24,47.58
